INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,SMA_5,SMA_10,RSI_14,MACD,MACD_Signal
,BHEL,29-Aug-24,0.0,XX,306.2,307.0,233.8,250.5,250.5,386,2734.85,624750,378000,4-Jun-24,674.1000000000004,949.9399999999999,41.13220420355867,-349.5122108015772,-378.9641168306505
,BIOCON,27-Jun-24,0.0,XX,308.0,312.0,269.65,291.5,291.5,12942,95182.02,37465000,-5295000,4-Jun-24,470.7900000000003,933.6899999999999,41.599306780403026,-361.9471680311058,-375.56072707074156
,BIOCON,25-Jul-24,0.0,XX,312.0,314.2,272.3,293.45,293.45,1005,7395.11,1342500,-22500,4-Jun-24,266.2000000000004,817.825,41.62303206663719,-367.4093462818065,-373.93045091295454
,BIOCON,29-Aug-24,0.0,XX,310.3,313.0,276.35,295.8,295.8,105,784.67,170000,90000,4-Jun-24,275.9500000000004,701.985,41.65379473533108,-367.3143651815657,-372.60723376667676
,BOSCHLTD,27-Jun-24,0.0,XX,30450.0,30450.0,27105.25,28444.8,28444.8,5299,37870.05,310800,9175,4-Jun-24,5915.210000000001,3399.72,92.5175149847992,1882.450242406163,78.40426146789125
,BOSCHLTD,25-Jul-24,0.0,XX,29683.8,29804.45,27027.3,28243.7,28243.7,265,1890.42,4725,1100,4-Jun-24,11513.85,6093.975,91.90113269269418,3607.5917413149973,784.2417574373126
,BOSCHLTD,29-Aug-24,0.0,XX,0.0,0.0,0.0,30222.7,30060.5,0,0.0,425,0,4-Jun-24,17500.09,8985.44,92.43525290687025,5075.955118051947,1642.5844295602394
,BPCL,27-Jun-24,0.0,XX,668.9,670.95,570.65,582.1,582.1,34416,190356.52,28973700,-187200,4-Jun-24,17557.82,8912.009999999998,44.7898917351012,3804.044315004805,2074.8764066491526
,BPCL,25-Jul-24,0.0,XX,688.0,688.0,574.7,586.1,586.1,1825,10097.24,574200,87300,4-Jun-24,17615.879999999997,8945.915,44.79402722286963,2764.5011580304945,2212.801356925421
,BPCL,29-Aug-24,0.0,XX,675.0,689.25,581.05,589.55,589.55,155,875.76,105300,50400,4-Jun-24,12044.829999999998,8980.02,44.79786789983759,1918.8151956371676,2154.00412466777
,BRITANNIA,27-Jun-24,0.0,XX,5236.9,5434.15,5144.65,5335.7,5335.7,7124,75194.86,2376600,46600,4-Jun-24,7463.2300000000005,9488.54,49.95587421132751,1612.984140250519,2045.80012778432
,BRITANNIA,25-Jul-24,0.0,XX,5251.25,5459.4,5182.15,5369.65,5369.65,189,2005.31,16600,5600,4-Jun-24,2492.62,9996.355,49.99186982945086,1357.699590984621,1908.1800204243802
